"Date: 2026-06-07+0000"
"Version: 7.2"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId","projectKind"
"","UVFarms - Team","We need developers","TEXT","","","N","","","","","0","0","2026-06-07T06:40:14+0000","","-231996956147712","Asia/Calcutta",,"false","Nirmal -- Wholesales","19791209431040","kanban","1","","TASK"
"","UVFarms - Team","Next meeting is important","TEXT","","","N","","","","","0","0","2026-06-07T06:40:07+0000","","-230897444519936","Asia/Calcutta",,"false","Nirmal -- Wholesales","19791209431040","kanban","2","","TASK"
"","UVFarms - Team","Create your own GitHub project and use the power of your fellow developer","TEXT","","","N","","","","","0","0","2026-06-07T02:21:12+0000","","-229797932892160","Asia/Calcutta","false","false","Open Source ","18691697803264","kanban","3","","TASK"
"","UVFarms - Team","http://www.thepowerofopensource.com/","TEXT","","","N","","","","","0","0","2026-06-06T08:50:53+0000","","-229797932826624","Asia/Calcutta",,"false","Open Source ","18691697803264","kanban","4","","TASK"
"","UVFarms - Team","Anyone can hire parttime developers right from here -- every detail is open here.","TEXT","","","N","","","","","0","0","2026-06-06T06:30:08+0000","","-228698421198848","Asia/Calcutta",,"false","Open Source ","18691697803264","kanban","5","","TASK"
"","UVFarms - Team","Working professionals -- as project managers, mentors","TEXT","","","N","","","","","0","0","2026-06-06T06:29:18+0000","","-227598909571072","Asia/Calcutta",,"false","Open Source ","18691697803264","kanban","6","","TASK"
"","UVFarms - Team","Brainstorm -- feature request for a project","TEXT","","","N","","","","","0","0","2026-06-06T06:27:05+0000","","-226499397943296","Asia/Calcutta",,"false","Open Source ","18691697803264","kanban","7","","TASK"
"","UVFarms - Team","""The world's biggest Software Company","TEXT","","","N","","","","","0","0","2026-06-06T06:26:19+0000","","-225399886315520","Asia/Calcutta",,"false","Open Source ","18691697803264","kanban","8","","TASK"
"","UVFarms - Team","ideas -- brain storm","TEXT","","","N","","","","","0","0","2026-06-06T06:25:08+0000","","-224300374687744","Asia/Calcutta",,"false","Open Source ","18691697803264","kanban","9","","TASK"
"","UVFarms - Team","Speak with UAE Ramya for Students","TEXT","","","N","","","","","0","0","2026-06-06T06:15:16+0000","","-223200863059968","Asia/Calcutta",,"false","Amul","17592186044416","kanban","10","","TASK"
"","UVFarms - Team","Speak with Cricket guy Basker for Srilankan contacts","TEXT","","","N","","","","","0","0","2026-06-06T06:14:57+0000","","-222101351432192","Asia/Calcutta",,"false","Amul","17592186044416","kanban","11","","TASK"
"","UVFarms - Team","AMS accounting system enhances","TEXT","","","N","","","","","0","0","2026-06-06T02:22:46+0000","","-221001839804416","Asia/Calcutta","false","false","Amul","17592186044416","kanban","12","","TASK"
"","UVFarms - Team","Web and physical badge for all participants","TEXT","","","N","","","","","0","0","2026-06-06T02:19:47+0000","","-221001839738880","Asia/Calcutta","false","false","Open Source ","18691697803264","kanban","13","","TASK"
"","UVFarms - Team","Without a participation in this, you will not get an internship","TEXT","","","N","","","","","0","0","2026-06-06T02:19:00+0000","","-221001839673344","Asia/Calcutta","false","false","Open Source ","18691697803264","kanban","14","","TASK"
"","UVFarms - Team","Unified community website","TEXT","","","N","","","","","0","0","2026-06-06T02:18:02+0000","","-221001839607808","Asia/Calcutta","false","false","Open Source ","18691697803264","kanban","15","","TASK"
"","UVFarms - Team","All these are training items for future AI model which will perform way better","TEXT","","","N","","","","","0","0","2026-06-06T02:16:40+0000","","-221001839542272","Asia/Calcutta","false","false","Open Source ","18691697803264","kanban","16","","TASK"
